order_id,Shipping Mode,Order Region,Order Status,delay
75903,First Class,Oceania,COMPLETE,1.0
75902,Same Day,Oceania,COMPLETE,1.0
75901,Same Day,Oceania,CANCELED,1.0
75900,Same Day,Southeast Asia,PENDING_PAYMENT,1.0
75899,Same Day,Southeast Asia,COMPLETE,1.0
75898,Standard Class,Southeast Asia,CLOSED,0.0
75897,Standard Class,Southeast Asia,PENDING_PAYMENT,-1.0
75896,Standard Class,Oceania,COMPLETE,-2.0
75895,Standard Class,South Asia,PENDING,2.0
75894,Second Class,South Asia,PENDING,3.0
75893,Standard Class,Eastern Asia,PROCESSING,0.0
28744,Second Class,South Asia,PENDING_PAYMENT,3.0
45461,Second Class,West Asia,PENDING_PAYMENT,0.0
31115,Second Class,Oceania,PENDING_PAYMENT,4.0
45766,Second Class,West Asia,PENDING_PAYMENT,0.0
47752,Second Class,Eastern Asia,PENDING_PAYMENT,1.0
50054,Second Class,West Asia,PENDING_PAYMENT,3.0
20365,Second Class,South Asia,PENDING_PAYMENT,4.0
36146,Second Class,West of USA ,PENDING_PAYMENT,0.0
41234,Second Class,West of USA ,PENDING_PAYMENT,3.0
32090,Second Class,West of USA ,PENDING_PAYMENT,4.0
34773,Second Class,US Center ,PENDING_PAYMENT,2.0
44046,Second Class,West Africa,PENDING_PAYMENT,0.0
46414,Second Class,Central Africa,PENDING_PAYMENT,3.0
46599,Second Class,West Africa,PENDING_PAYMENT,3.0
48434,Second Class,North Africa,PENDING_PAYMENT,3.0
12827,Second Class,Western Europe,PENDING_PAYMENT,1.0
63936,Second Class,Western Europe,PENDING_PAYMENT,0.0
65030,Second Class,Western Europe,PENDING_PAYMENT,4.0
18108,Second Class,Western Europe,PENDING_PAYMENT,2.0
62571,Second Class,Northern Europe,PENDING_PAYMENT,0.0
17162,Second Class,Northern Europe,PENDING_PAYMENT,1.0
65922,Second Class,Western Europe,PENDING_PAYMENT,1.0
64813,Second Class,Northern Europe,PENDING_PAYMENT,2.0
67892,Second Class,Western Europe,PENDING_PAYMENT,1.0
12525,Second Class,Western Europe,PENDING_PAYMENT,4.0
5895,Second Class,Central America,PENDING_PAYMENT,4.0
56359,Second Class,Central America,PENDING_PAYMENT,3.0
58613,Second Class,Central America,PENDING_PAYMENT,2.0
7824,Second Class,Caribbean,PENDING_PAYMENT,3.0
7814,Second Class,South America,PENDING_PAYMENT,3.0
60807,Second Class,Caribbean,PENDING_PAYMENT,1.0
53413,Second Class,South America,PENDING_PAYMENT,2.0
7888,Second Class,Central America,PENDING_PAYMENT,2.0
6783,Second Class,Central America,PENDING_PAYMENT,2.0
56973,Second Class,South America,PENDING_PAYMENT,2.0
55155,Second Class,Central America,PENDING_PAYMENT,4.0
5991,Second Class,Central America,PENDING_PAYMENT,0.0
2263,Second Class,Central America,PENDING_PAYMENT,2.0
53403,Second Class,Central America,PENDING_PAYMENT,2.0
51298,Second Class,South America,PENDING_PAYMENT,2.0
4919,Standard Class,South America,PENDING,1.0
52640,Standard Class,South America,PENDING,2.0
6358,Standard Class,South America,PENDING,0.0
57106,Standard Class,South America,PENDING,-2.0
6245,Standard Class,South America,PENDING,2.0
52166,Standard Class,Caribbean,PENDING,-2.0
56172,Standard Class,Caribbean,PENDING,-1.0
55829,Standard Class,Caribbean,PENDING,1.0
52478,Standard Class,Central America,PENDING,0.0
57242,Standard Class,Central America,PENDING,-1.0
3137,Standard Class,Central America,PENDING,-1.0
60127,Standard Class,South America,PENDING,-1.0
3828,Standard Class,Central America,PENDING,0.0
60386,Standard Class,South America,PENDING,-2.0
973,Standard Class,Caribbean,PENDING,0.0
57999,Standard Class,Central America,PENDING,1.0
54585,Standard Class,South America,PENDING,2.0
57598,Standard Class,Caribbean,PENDING,0.0
54274,Standard Class,Central America,PENDING,1.0
60673,Standard Class,Central America,PENDING,0.0
59387,Standard Class,Central America,PENDING,-1.0
10007,Standard Class,South America,PENDING,-1.0
55984,Standard Class,Central America,PENDING,1.0
58375,Standard Class,Central America,PENDING,2.0
56448,Standard Class,Caribbean,PENDING,0.0
8221,Standard Class,South America,PROCESSING,-2.0
58034,Standard Class,Central America,PROCESSING,1.0
2203,Standard Class,Central America,PROCESSING,0.0
53069,Standard Class,South America,PROCESSING,1.0
60146,Standard Class,Central America,PROCESSING,-2.0
55409,Standard Class,South America,PROCESSING,1.0
8678,Standard Class,Central America,PROCESSING,0.0
7980,Standard Class,Central America,PROCESSING,2.0
57185,Standard Class,Central America,PROCESSING,2.0
8636,Standard Class,South America,PROCESSING,-2.0
61192,Standard Class,South America,PROCESSING,-1.0
55876,Standard Class,Central America,PROCESSING,-2.0
53331,Standard Class,Central America,PROCESSING,-2.0
51725,Standard Class,Central America,PROCESSING,2.0
52562,Standard Class,South America,PROCESSING,-1.0
59754,Standard Class,Central America,PROCESSING,1.0
53574,Standard Class,Central America,PROCESSING,1.0
399,Standard Class,Central America,PROCESSING,1.0
51050,Second Class,Central Africa,ON_HOLD,4.0
45680,Second Class,North Africa,ON_HOLD,4.0
42992,Second Class,East Africa,ON_HOLD,1.0
41304,Second Class,North Africa,ON_HOLD,3.0
44253,Second Class,West Africa,ON_HOLD,2.0
46098,Second Class,North Africa,ON_HOLD,2.0
71077,Second Class,Southern Europe,COMPLETE,1.0
69703,Second Class,Western Europe,COMPLETE,2.0
71112,Second Class,Western Europe,COMPLETE,1.0
69810,Second Class,Western Europe,COMPLETE,4.0
71092,Second Class,Western Europe,COMPLETE,1.0
69610,Second Class,Southern Europe,COMPLETE,4.0
71000,Second Class,Western Europe,COMPLETE,4.0
70734,Second Class,Northern Europe,COMPLETE,3.0
69626,Second Class,Western Europe,COMPLETE,0.0
69482,Second Class,Western Europe,COMPLETE,1.0
70769,Second Class,Northern Europe,COMPLETE,3.0
69643,Second Class,Southern Europe,COMPLETE,2.0
71051,Second Class,Northern Europe,COMPLETE,0.0
69408,Second Class,Southern Europe,COMPLETE,2.0
71123,Second Class,Southern Europe,COMPLETE,2.0
70534,Second Class,Western Europe,COMPLETE,3.0
69641,Second Class,Southern Europe,COMPLETE,0.0
70960,Second Class,Western Europe,COMPLETE,4.0
69908,Second Class,Northern Europe,COMPLETE,2.0
70957,Second Class,Western Europe,COMPLETE,1.0
69637,Second Class,Western Europe,COMPLETE,1.0
70955,Second Class,Northern Europe,COMPLETE,4.0
70919,Second Class,Southern Europe,COMPLETE,3.0
71009,Second Class,Western Europe,COMPLETE,3.0
69653,Second Class,Northern Europe,COMPLETE,2.0
69527,Second Class,Southern Europe,COMPLETE,1.0
71080,Second Class,Western Europe,COMPLETE,4.0
70544,Second Class,Northern Europe,COMPLETE,3.0
69471,Second Class,Northern Europe,COMPLETE,0.0
68879,Second Class,Western Europe,COMPLETE,3.0
67214,Second Class,Southern Europe,COMPLETE,3.0
17810,Second Class,Northern Europe,COMPLETE,4.0
18793,Second Class,Northern Europe,COMPLETE,2.0
65109,Second Class,Western Europe,COMPLETE,3.0
15673,Second Class,Northern Europe,COMPLETE,2.0
18183,Second Class,Western Europe,COMPLETE,2.0
20234,Second Class,Western Europe,COMPLETE,3.0
13139,Second Class,Western Europe,COMPLETE,3.0
33824,Standard Class,US Center ,SUSPECTED_FRAUD,1.0
31364,Standard Class,West of USA ,SUSPECTED_FRAUD,1.0
40495,Standard Class,West of USA ,SUSPECTED_FRAUD,2.0
34506,Standard Class,West of USA ,SUSPECTED_FRAUD,-2.0
33607,Standard Class,West of USA ,SUSPECTED_FRAUD,-1.0
32617,Standard Class,East of USA,SUSPECTED_FRAUD,-1.0
37496,Standard Class,US Center ,SUSPECTED_FRAUD,-2.0
49075,Standard Class,Canada,SUSPECTED_FRAUD,2.0
41623,Standard Class,Canada,SUSPECTED_FRAUD,0.0
39271,Standard Class,East of USA,SUSPECTED_FRAUD,-2.0
38598,Standard Class,US Center ,SUSPECTED_FRAUD,0.0
37845,Standard Class,US Center ,SUSPECTED_FRAUD,2.0
42331,Standard Class,East Africa,CANCELED,-2.0
41345,Standard Class,North Africa,CANCELED,2.0
51168,Standard Class,West Africa,CANCELED,0.0
43599,Standard Class,North Africa,CANCELED,1.0
41901,Standard Class,West Africa,CANCELED,-2.0
42751,Standard Class,East Africa,PENDING,-2.0
45088,Standard Class,North Africa,PENDING,0.0
50489,Standard Class,North Africa,PENDING,1.0
44409,Standard Class,West Africa,PENDING,1.0
42101,Standard Class,North Africa,PENDING,-2.0
50424,Standard Class,North Africa,PENDING,1.0
49825,Standard Class,West Africa,PENDING,2.0
41294,Standard Class,North Africa,PENDING,1.0
42023,Standard Class,West Africa,PENDING,0.0
47774,Standard Class,North Africa,PENDING,1.0
41827,Standard Class,Southern Africa,PENDING,-1.0
47193,Standard Class,North Africa,PENDING,0.0
42626,Standard Class,North Africa,PENDING,-2.0
46199,Standard Class,West Africa,PENDING,1.0
48468,Standard Class,West Africa,PENDING,0.0
51009,Standard Class,East Africa,PROCESSING,1.0
46229,Standard Class,Southern Africa,PROCESSING,1.0
42882,Standard Class,East Africa,PROCESSING,-1.0
46827,Standard Class,East Africa,PROCESSING,-1.0
48684,Standard Class,East Africa,PROCESSING,1.0
46416,Standard Class,North Africa,PROCESSING,-2.0
47343,Standard Class,Southern Africa,PROCESSING,0.0
41686,Standard Class,West Asia,COMPLETE,-2.0
41896,Standard Class,West Asia,COMPLETE,-2.0
28168,Standard Class,Oceania,COMPLETE,0.0
24992,Standard Class,Oceania,COMPLETE,-1.0
30851,Standard Class,Oceania,COMPLETE,-2.0
25074,Standard Class,Oceania,COMPLETE,1.0
76870,Standard Class,Oceania,COMPLETE,2.0
25163,Standard Class,South Asia,COMPLETE,0.0
28036,Standard Class,South Asia,COMPLETE,-2.0
22679,Standard Class,Southeast Asia,COMPLETE,1.0
23610,Standard Class,Southeast Asia,COMPLETE,2.0
42828,Standard Class,West Asia,COMPLETE,0.0
48713,Standard Class,West Asia,COMPLETE,0.0
45668,Standard Class,West Asia,COMPLETE,0.0
74796,Standard Class,Eastern Asia,COMPLETE,-2.0
27918,Standard Class,Eastern Asia,COMPLETE,0.0
30097,Standard Class,Oceania,COMPLETE,-1.0
30966,Standard Class,Oceania,COMPLETE,-2.0
30063,Standard Class,Oceania,COMPLETE,0.0
22019,Standard Class,South Asia,COMPLETE,1.0
24230,Standard Class,Southeast Asia,COMPLETE,2.0
42353,Standard Class,West Asia,COMPLETE,0.0
42134,Standard Class,Central Asia,COMPLETE,1.0
21522,Standard Class,Eastern Asia,COMPLETE,-1.0
23767,Standard Class,Eastern Asia,COMPLETE,-1.0
25433,Standard Class,Eastern Asia,COMPLETE,0.0
73893,Standard Class,Eastern Asia,COMPLETE,0.0
30085,Standard Class,Oceania,COMPLETE,2.0
30172,Standard Class,Oceania,COMPLETE,-1.0
27478,Standard Class,Oceania,COMPLETE,0.0
76976,Standard Class,Oceania,COMPLETE,-2.0
24063,Standard Class,South Asia,COMPLETE,0.0
51209,Standard Class,South Asia,COMPLETE,1.0
73839,Standard Class,South Asia,COMPLETE,1.0
74723,Standard Class,Southeast Asia,COMPLETE,0.0
26821,Standard Class,Southeast Asia,COMPLETE,-2.0
77102,Standard Class,Southeast Asia,COMPLETE,-1.0
41608,Standard Class,West Asia,COMPLETE,0.0
47009,Standard Class,West Asia,COMPLETE,1.0
49916,Standard Class,Central Asia,COMPLETE,-2.0
29746,Standard Class,Eastern Asia,COMPLETE,-2.0
72533,Standard Class,Eastern Asia,COMPLETE,0.0
48608,Standard Class,West Africa,COMPLETE,0.0
45506,Standard Class,West Africa,COMPLETE,-2.0
45027,Standard Class,West Africa,COMPLETE,-1.0
46308,Standard Class,Central Africa,COMPLETE,0.0
43685,Standard Class,West Africa,COMPLETE,2.0
41893,Standard Class,Central Africa,COMPLETE,0.0
46339,Standard Class,Central Africa,COMPLETE,1.0
46667,Standard Class,West Africa,COMPLETE,-1.0
47647,Standard Class,East Africa,COMPLETE,-1.0
48565,Standard Class,East Africa,COMPLETE,2.0
43889,Standard Class,West Africa,COMPLETE,1.0
45138,Standard Class,Central Africa,COMPLETE,0.0
44160,Standard Class,Central Africa,COMPLETE,2.0
49214,Standard Class,West Africa,COMPLETE,1.0
41825,Standard Class,Southern Africa,COMPLETE,2.0
44504,Standard Class,West Africa,COMPLETE,1.0
44496,Standard Class,East Africa,COMPLETE,-2.0
45559,Standard Class,West Africa,COMPLETE,1.0
44074,Standard Class,West Africa,COMPLETE,1.0
49857,Standard Class,North Africa,COMPLETE,-1.0
41786,Standard Class,North Africa,COMPLETE,-2.0
48042,Standard Class,West Africa,ON_HOLD,-1.0
44301,Standard Class,North Africa,ON_HOLD,-2.0
41591,Standard Class,East Africa,ON_HOLD,-2.0
44981,Standard Class,North Africa,ON_HOLD,-2.0
41545,Standard Class,Southern Africa,ON_HOLD,2.0
49910,Standard Class,Southern Africa,ON_HOLD,2.0
19590,Standard Class,Western Europe,COMPLETE,2.0
43650,Standard Class,Eastern Europe,COMPLETE,2.0
15202,Standard Class,Western Europe,COMPLETE,-1.0
15462,Standard Class,Southern Europe,COMPLETE,-1.0
15155,Standard Class,Western Europe,COMPLETE,2.0
64451,Standard Class,Western Europe,COMPLETE,-2.0
67028,Standard Class,Western Europe,COMPLETE,0.0
62336,Standard Class,Western Europe,COMPLETE,-2.0
11334,Standard Class,Western Europe,COMPLETE,1.0
62885,Standard Class,Southern Europe,COMPLETE,2.0
66998,Standard Class,Southern Europe,COMPLETE,0.0
47002,Standard Class,Eastern Europe,COMPLETE,-1.0
63445,Standard Class,Southern Europe,COMPLETE,2.0
67566,Standard Class,Western Europe,COMPLETE,-2.0
18884,Standard Class,Western Europe,COMPLETE,1.0
18845,Standard Class,Southern Europe,COMPLETE,2.0
66854,Standard Class,Northern Europe,COMPLETE,1.0
46955,Standard Class,Eastern Europe,COMPLETE,2.0
55002,Standard Class,Central America,PROCESSING,-1.0
60445,Standard Class,South America,PROCESSING,2.0
53586,Standard Class,Central America,PROCESSING,-2.0
56618,Standard Class,Central America,PROCESSING,0.0
51865,Standard Class,South America,PROCESSING,2.0
2937,Standard Class,South America,PROCESSING,-1.0
54446,Standard Class,South America,PROCESSING,-2.0
58623,Standard Class,Central America,PROCESSING,0.0
7411,Standard Class,South America,PROCESSING,-2.0
5348,Standard Class,Central America,PROCESSING,0.0
59742,Standard Class,Caribbean,PROCESSING,-1.0
59498,Standard Class,Central America,PROCESSING,0.0
3459,Standard Class,Caribbean,PROCESSING,1.0
8470,Standard Class,Central America,PROCESSING,2.0
53455,Standard Class,South America,PROCESSING,2.0
2014,Standard Class,Central America,PROCESSING,1.0
55899,Standard Class,Central America,PROCESSING,1.0
52582,Standard Class,Central America,PROCESSING,-1.0
56222,Standard Class,Central America,PROCESSING,-1.0
57829,Standard Class,South America,PROCESSING,1.0
56217,Standard Class,Central America,PROCESSING,-1.0
5893,Standard Class,Central America,PROCESSING,0.0
5528,Standard Class,Central America,PROCESSING,0.0
367,Standard Class,South America,PROCESSING,-1.0
52353,Standard Class,South America,PROCESSING,0.0
1784,Standard Class,South America,PROCESSING,1.0
60317,Standard Class,Caribbean,PROCESSING,-1.0
6776,Standard Class,Central America,PROCESSING,-2.0
4487,Standard Class,Central America,PROCESSING,-1.0
9681,Standard Class,Central America,PROCESSING,-2.0
60868,Standard Class,Central America,PROCESSING,0.0
53231,Standard Class,Central America,PROCESSING,-2.0
52601,Standard Class,South America,PROCESSING,-2.0
4660,Standard Class,South America,PROCESSING,2.0
3539,Standard Class,South America,PROCESSING,1.0
54488,Standard Class,South America,PROCESSING,0.0
52549,Standard Class,Central America,PROCESSING,1.0
60361,Standard Class,Central America,PROCESSING,-2.0
5712,Standard Class,South America,PROCESSING,-1.0
9309,Standard Class,South America,PROCESSING,1.0
8095,Standard Class,South America,PROCESSING,2.0
75892,Standard Class,South Asia,PROCESSING,-1.0
75891,Standard Class,Eastern Asia,COMPLETE,-2.0
75890,Second Class,Eastern Asia,COMPLETE,4.0
75889,Standard Class,South Asia,COMPLETE,1.0
75888,Standard Class,South Asia,PENDING_PAYMENT,0.0
75887,Standard Class,South Asia,COMPLETE,-1.0
75886,Standard Class,Oceania,CANCELED,-2.0
75885,Second Class,Southeast Asia,PENDING_PAYMENT,4.0
75884,Standard Class,Oceania,PENDING,1.0
75883,First Class,Eastern Asia,COMPLETE,1.0
75882,Standard Class,Eastern Asia,PENDING,-1.0
75881,Standard Class,Eastern Asia,COMPLETE,-2.0
75880,Standard Class,Eastern Asia,COMPLETE,2.0
75879,Standard Class,South Asia,PROCESSING,1.0
75878,Standard Class,South Asia,COMPLETE,0.0
75877,Standard Class,Southeast Asia,PROCESSING,-1.0
75876,Standard Class,Southeast Asia,PENDING,-2.0
75875,Second Class,Southeast Asia,PENDING_PAYMENT,4.0
75874,Standard Class,Southeast Asia,PENDING_PAYMENT,1.0
75873,Standard Class,South Asia,PROCESSING,0.0
75872,Standard Class,South Asia,PENDING,-1.0
75871,First Class,South Asia,COMPLETE,1.0
75870,First Class,South Asia,COMPLETE,1.0
75869,First Class,South Asia,COMPLETE,1.0
75868,First Class,Eastern Asia,PROCESSING,1.0
75867,Same Day,Southeast Asia,PENDING,0.0
75866,Same Day,Southeast Asia,PENDING_PAYMENT,0.0
75865,Same Day,Oceania,CLOSED,0.0
75864,Standard Class,Oceania,PENDING,1.0
75863,Standard Class,Oceania,PENDING_PAYMENT,0.0
75862,Standard Class,Oceania,PENDING,-1.0
75861,Standard Class,Oceania,COMPLETE,-2.0
75860,Standard Class,Oceania,COMPLETE,2.0
75859,Standard Class,Eastern Asia,SUSPECTED_FRAUD,1.0
75858,Second Class,Oceania,COMPLETE,2.0
75857,Standard Class,Oceania,COMPLETE,-1.0
75856,Second Class,Eastern Asia,ON_HOLD,0.0
75855,First Class,Southeast Asia,PENDING_PAYMENT,1.0
75854,Second Class,Southeast Asia,COMPLETE,3.0
75853,Second Class,Eastern Asia,PENDING_PAYMENT,2.0
75852,Standard Class,South Asia,COMPLETE,-1.0
75851,Standard Class,Eastern Asia,PENDING,-2.0
75850,Standard Class,South Asia,COMPLETE,2.0
75849,Standard Class,South Asia,PENDING_PAYMENT,1.0
75848,Second Class,South Asia,PENDING_PAYMENT,2.0
75847,Second Class,South Asia,SUSPECTED_FRAUD,1.0
75846,Standard Class,South Asia,PROCESSING,-2.0
75845,Standard Class,Southeast Asia,PENDING_PAYMENT,2.0
75844,Standard Class,Southeast Asia,PENDING,1.0
75843,Second Class,Southeast Asia,PENDING_PAYMENT,2.0
75842,Standard Class,Southeast Asia,PROCESSING,-1.0
75841,Standard Class,Southeast Asia,COMPLETE,-2.0
75840,Second Class,Eastern Asia,CLOSED,4.0
75839,Second Class,Eastern Asia,PROCESSING,3.0
75838,First Class,Eastern Asia,PENDING_PAYMENT,1.0
75837,First Class,Southeast Asia,CLOSED,1.0
75836,Second Class,Southeast Asia,CLOSED,0.0
75835,Second Class,South Asia,COMPLETE,4.0
75834,Second Class,South Asia,PENDING_PAYMENT,3.0
75833,First Class,South Asia,COMPLETE,1.0
75832,First Class,South Asia,CLOSED,1.0
75831,First Class,South Asia,PENDING_PAYMENT,1.0
75830,Standard Class,Southeast Asia,PENDING_PAYMENT,2.0
75829,Standard Class,Southeast Asia,PENDING_PAYMENT,1.0
75828,Standard Class,Southeast Asia,ON_HOLD,0.0
75827,Standard Class,Oceania,COMPLETE,-1.0
75826,Standard Class,Southeast Asia,CLOSED,-2.0
75825,Standard Class,Southeast Asia,COMPLETE,2.0
75824,Standard Class,South Asia,CLOSED,1.0
75823,Standard Class,South Asia,PENDING,0.0
75822,Standard Class,South Asia,COMPLETE,-1.0
75821,Standard Class,South Asia,COMPLETE,-2.0
75820,Standard Class,Southeast Asia,COMPLETE,2.0
75819,Standard Class,Southeast Asia,COMPLETE,1.0
75818,Standard Class,Oceania,PROCESSING,0.0
75817,Standard Class,Oceania,CLOSED,-1.0
75816,Standard Class,Southeast Asia,PROCESSING,-2.0
75815,Standard Class,Eastern Asia,COMPLETE,2.0
75814,Standard Class,Eastern Asia,PENDING_PAYMENT,1.0
75813,Second Class,Southeast Asia,PAYMENT_REVIEW,2.0
75812,Second Class,Oceania,PENDING_PAYMENT,1.0
75811,First Class,Eastern Asia,PENDING_PAYMENT,1.0
75810,Second Class,Eastern Asia,ON_HOLD,4.0
75809,Second Class,Eastern Asia,ON_HOLD,3.0
75808,Second Class,Eastern Asia,COMPLETE,2.0
75807,Same Day,Eastern Asia,PENDING_PAYMENT,1.0
75806,Same Day,Eastern Asia,COMPLETE,1.0
75805,Same Day,Oceania,COMPLETE,1.0
75804,Same Day,Oceania,COMPLETE,1.0
75803,Same Day,Oceania,CLOSED,1.0
75802,Same Day,Oceania,SUSPECTED_FRAUD,1.0
75801,Same Day,South Asia,COMPLETE,1.0
75800,Standard Class,South Asia,COMPLETE,2.0
75799,Standard Class,Southeast Asia,COMPLETE,1.0
75798,Standard Class,South Asia,PROCESSING,0.0
75797,Standard Class,Eastern Asia,PENDING,-1.0
3130,Second Class,Central America,PENDING_PAYMENT,4.0
49521,Second Class,West Asia,PAYMENT_REVIEW,0.0
30305,Second Class,Oceania,PAYMENT_REVIEW,4.0
27772,Second Class,Southeast Asia,PENDING_PAYMENT,1.0
31296,Second Class,Southeast Asia,PENDING_PAYMENT,0.0
22076,Second Class,Eastern Asia,PENDING_PAYMENT,0.0
25665,Second Class,Oceania,PENDING_PAYMENT,4.0
22819,Second Class,Oceania,PENDING_PAYMENT,3.0
27099,Second Class,Oceania,PENDING_PAYMENT,3.0
28292,Second Class,South Asia,PENDING_PAYMENT,1.0
39159,Second Class,West of USA ,PAYMENT_REVIEW,3.0
34631,Second Class,West of USA ,PENDING_PAYMENT,0.0
37669,Second Class,East of USA,PENDING_PAYMENT,3.0
40085,Second Class,South of  USA ,PENDING_PAYMENT,4.0
47262,Second Class,Southern Africa,PAYMENT_REVIEW,1.0
44771,Second Class,Southern Africa,PENDING_PAYMENT,0.0
13890,Second Class,Western Europe,PENDING_PAYMENT,4.0
17071,Second Class,Western Europe,PENDING_PAYMENT,0.0
11321,Second Class,Western Europe,PENDING_PAYMENT,0.0
11936,Second Class,Western Europe,PENDING_PAYMENT,0.0
68337,Second Class,Western Europe,PENDING_PAYMENT,1.0
45746,Second Class,Eastern Europe,PENDING_PAYMENT,0.0
13736,Second Class,Northern Europe,PENDING_PAYMENT,0.0
49622,Second Class,Eastern Europe,PENDING_PAYMENT,1.0
19444,Second Class,Northern Europe,PENDING_PAYMENT,3.0
51911,Second Class,Central America,PENDING_PAYMENT,0.0
58239,Second Class,Caribbean,PENDING_PAYMENT,3.0
56678,Second Class,Central America,PENDING_PAYMENT,2.0
53202,Second Class,Central America,PENDING_PAYMENT,1.0
58738,Second Class,Central America,PENDING_PAYMENT,2.0
56260,Second Class,Central America,PENDING_PAYMENT,4.0
5042,Second Class,South America,PENDING_PAYMENT,1.0
55511,Second Class,Central America,PENDING_PAYMENT,0.0
54128,Second Class,South America,PENDING_PAYMENT,2.0
21244,Second Class,Eastern Asia,PAYMENT_REVIEW,3.0
31239,Second Class,Oceania,PENDING_PAYMENT,3.0
45772,Second Class,South Asia,PENDING_PAYMENT,1.0
24661,Second Class,Oceania,PENDING_PAYMENT,0.0
22924,Second Class,Southeast Asia,PENDING_PAYMENT,3.0
21902,Second Class,Southeast Asia,PENDING_PAYMENT,1.0
21534,Second Class,Eastern Asia,PENDING_PAYMENT,3.0
24160,Second Class,Oceania,PENDING_PAYMENT,4.0
32102,Second Class,West of USA ,PENDING_PAYMENT,1.0
37763,Second Class,West of USA ,PENDING_PAYMENT,2.0
37867,Second Class,US Center ,PENDING_PAYMENT,1.0
31905,Second Class,East of USA,PENDING_PAYMENT,4.0
36269,Second Class,South of  USA ,PENDING_PAYMENT,3.0
48374,Second Class,Central Africa,PENDING_PAYMENT,3.0
17719,Second Class,Southern Europe,PENDING_PAYMENT,3.0
15766,Second Class,Southern Europe,PENDING_PAYMENT,0.0
12179,Second Class,Western Europe,PENDING_PAYMENT,3.0
66275,Second Class,Western Europe,PENDING_PAYMENT,4.0
13140,Second Class,Western Europe,PENDING_PAYMENT,4.0
16444,Second Class,Western Europe,PENDING_PAYMENT,3.0
14454,Second Class,Northern Europe,PENDING_PAYMENT,3.0
67979,Second Class,Western Europe,PENDING_PAYMENT,3.0
65264,Second Class,Western Europe,PENDING_PAYMENT,3.0
51226,Second Class,Eastern Europe,PENDING_PAYMENT,0.0
52576,Second Class,Central America,PAYMENT_REVIEW,0.0
67753,Second Class,Western Europe,COMPLETE,2.0
15421,Second Class,Southern Europe,COMPLETE,0.0
13225,Second Class,Northern Europe,COMPLETE,4.0
71362,Second Class,Southern Europe,COMPLETE,1.0
13232,Second Class,Southern Europe,COMPLETE,1.0
65487,Second Class,Western Europe,COMPLETE,1.0
65105,Second Class,Western Europe,COMPLETE,4.0
14837,Second Class,Western Europe,COMPLETE,1.0
46224,Second Class,Eastern Europe,COMPLETE,3.0
71217,Second Class,Northern Europe,COMPLETE,1.0
63972,Second Class,Northern Europe,COMPLETE,1.0
19200,Second Class,Northern Europe,COMPLETE,4.0
18009,Second Class,Northern Europe,COMPLETE,3.0
10831,Second Class,Northern Europe,COMPLETE,0.0
68107,Second Class,Southern Europe,COMPLETE,1.0
71271,Second Class,Western Europe,COMPLETE,0.0
16953,Second Class,Western Europe,COMPLETE,2.0
49664,Second Class,Eastern Europe,COMPLETE,3.0
16446,Second Class,Northern Europe,COMPLETE,0.0
14960,Second Class,Western Europe,COMPLETE,4.0
18005,Second Class,Northern Europe,COMPLETE,4.0
12804,Second Class,Southern Europe,COMPLETE,3.0
14651,Second Class,Western Europe,COMPLETE,0.0
10990,Second Class,Western Europe,COMPLETE,4.0
65609,Second Class,Western Europe,COMPLETE,3.0
17878,Second Class,Western Europe,COMPLETE,2.0
